"lang"		"russian"

{
	"Language"		"Russian"

	"Tokens"

	{
		"addon_game_name"		"Letter Invoker"

		// Ability: Letter ARTI
		"DOTA_Tooltip_ability_letter_arti"		"Буква ARTI"
		"DOTA_Tooltip_ability_letter_arti_Description"		"Добавляет букву ARTI в ваш буфер, наделяя вас Силой. Каждая буква усиливает могущественные комбинации заклинаний."
		"DOTA_Tooltip_ability_letter_arti_Lore"		"Древние символы ARTI дарят мудрость, превосходящую смертное понимание."
		"DOTA_Tooltip_ability_letter_arti_Note0"		"Требуется минимум 3 буквы для использования заклинания."

		// Ability: Letter PIRA
		"DOTA_Tooltip_ability_letter_pira"		"Буква PIRA"
		"DOTA_Tooltip_ability_letter_pira_Description"		"Добавляет букву PIRA в ваш буфер, наделяя вас Интеллектом. Каждая буква усиливает могущественные комбинации заклинаний."
		"DOTA_Tooltip_ability_letter_pira_Lore"		"Древние символы PIRA дарят мудрость, превосходящую смертное понимание."
		"DOTA_Tooltip_ability_letter_pira_Note0"		"Требуется минимум 3 буквы для использования заклинания."

		// Ability: Letter MONT
		"DOTA_Tooltip_ability_letter_mont"		"Буква MONT"
		"DOTA_Tooltip_ability_letter_mont_Description"		"Добавляет букву MONT в ваш буфер, наделяя вас Ловкостью. Каждая буква усиливает могущественные комбинации заклинаний."
		"DOTA_Tooltip_ability_letter_mont_Lore"		"Древние символы MONT дарят мудрость, превосходящую смертное понимание."
		"DOTA_Tooltip_ability_letter_mont_Note0"		"Требуется минимум 3 буквы для использования заклинания."

		// Ability: Letter Invoke
		"DOTA_Tooltip_ability_letter_invoke"		"Вызов"
		"DOTA_Tooltip_ability_letter_invoke_Description"		"Комбинирует накопленные буквы в могущественное заклинание. Созданное заклинание зависит от комбинации использованных букв."
		"DOTA_Tooltip_ability_letter_invoke_Lore"		"Мастерство призывателя букв требует точного времени и знания тайных комбинаций."
		"DOTA_Tooltip_ability_letter_invoke_Note0"		"Требуется минимум 3 буквы для вызова."
		"DOTA_Tooltip_ability_letter_invoke_Note1"		"Различные комбинации букв создают разные заклинания."

		// Modifier: ARTI
		"DOTA_Tooltip_modifier_mod_arti"		"ARTI"
		"DOTA_Tooltip_modifier_mod_arti_Description"		"Дарует бонус к Силе. Увеличивается в зависимости от количества букв ARTI в буфере."
		"DOTA_Tooltip_modifier_mod_arti_Lore"		"Символ ARTI направляет силу структуры и стойкости."
		"DOTA_Tooltip_modifier_mod_arti_buff"		"+{s:bonus_strength} К Силе"

		// Modifier: MONT
		"DOTA_Tooltip_modifier_mod_mont"		"MONT"
		"DOTA_Tooltip_modifier_mod_mont_Description"		"Дарует бонус к Ловкости. Увеличивается в зависимости от количества букв MONT в буфере."
		"DOTA_Tooltip_modifier_mod_mont_Lore"		"Символ MONT воплощает скорость и быстрое движение."
		"DOTA_Tooltip_modifier_mod_mont_buff"		"+{s:bonus_agility} К Ловкости"

		// Modifier: PIRA
		"DOTA_Tooltip_modifier_mod_pira"		"PIRA"
		"DOTA_Tooltip_modifier_mod_pira_Description"		"Дарует бонус к Интеллекту. Увеличивается в зависимости от количества букв PIRA в буфере."
